City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Sambava,MG,-14.2667,50.1667,81.57,76,100,2.24,overcast clouds
290,Camacha,PT,33.0833,-16.3333,68.54,82,20,4.61,few clouds
291,Sackville,CA,45.9188,-64.3846,26.47,94,100,15.39,snow
292,Majene,ID,-3.5403,118.9707,78.17,82,99,7.25,overcast clouds
293,Tahoua,NE,14.8888,5.2692,82.38,5,0,17.27,clear sky
294,Cap-Chat,CA,49.1001,-66.6821,8.6,78,100,17.27,overcast clouds
295,Ancud,CL,-41.8697,-73.8203,66.22,72,83,6.96,broken clouds
296,Honolulu,US,21.3069,-157.8583,68.56,83,0,0.0,clear sky
297,Saskylakh,RU,71.9167,114.0833,-7.92,99,100,4.25,light snow
298,Rumonge,BI,-3.9736,29.4386,72.99,83,100,5.35,light rain
299,Broome,US,42.2506,-75.833,23.0,76,100,1.99,light snow
300,Tall Kayf,TR,37.0833,41.0667,47.25,70,96,4.43,light rain
301,Pindushi,RU,62.9152,34.58,0.66,100,99,5.57,overcast clouds
302,Balkhash,KZ,46.844,74.9804,8.71,82,5,12.53,clear sky
303,Xifeng,CN,42.7372,124.7222,5.79,75,0,5.3,clear sky
304,Qandala,SO,11.472,49.8728,76.3,59,0,4.47,clear sky
305,Vardo,NO,70.3705,31.1107,19.38,79,75,20.71,broken clouds
306,Faya,SA,18.3851,42.4509,60.91,81,35,7.0,scattered clouds
307,Koslan,RU,63.4564,48.8989,-5.28,100,83,2.08,broken clouds
308,Nisia Floresta,BR,-6.0911,-35.2086,88.61,51,47,13.8,scattered clouds
309,Torbay,CA,47.6666,-52.7314,33.58,94,100,10.36,snow
310,Kamaishi,JP,39.2667,141.8833,28.99,63,63,7.05,broken clouds
311,Souris,CA,49.6172,-100.2612,-17.27,96,26,3.49,scattered clouds
312,Assiniboia,CA,49.6334,-105.9845,-7.78,71,92,11.5,overcast clouds
