City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
396,Chipinge,ZW,67.48,few clouds,-20.1883,32.6236,Chipinge Breeze Lodge
397,Shingu,JP,41.92,clear sky,33.7333,135.9833,Shingu UI Hotel
403,Port Hardy,CA,46.76,light rain,50.6996,-127.4199,Airport Inn-Port Hardy
405,Safaga,EG,64.35,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
411,Kalamnuri,IN,65.88,clear sky,19.6667,77.3333,खंडोबा राव शेषराव गडदे
415,Inverell,AU,53.67,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
421,Blythe,US,48.04,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
422,Ubon Ratchathani,TH,67.89,few clouds,15.1667,105.1667,บ้านอินทร์โชติ
429,Mpika,ZM,60.04,light rain,-11.8343,31.4529,Melodies Lodge
431,Turan,VN,67.98,broken clouds,16.0678,108.2208,Grand Mercure Danang
435,Aguimes,ES,69.66,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
437,Kushima,JP,40.12,clear sky,31.4583,131.2333,Hanaoka
440,Gat,IL,52.92,broken clouds,31.61,34.7642,OlusHome
453,Plettenberg Bay,ZA,65.26,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
460,Dunedin,NZ,53.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
461,Sawtell,AU,62.92,broken clouds,-30.3833,153.1,The Bungalow Sawtell
462,Bichena,ET,64.69,scattered clouds,10.45,38.2,Dagm Tesfa Hotel ዳግም ተስፋ ሆቴል
463,Itoman,JP,60.82,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
466,Maralal,KE,66.7,overcast clouds,1.0968,36.698,Ngari Hill Ecolodge
467,Masterton,NZ,66.96,light rain,-40.9597,175.6575,Copthorne Hotel & Resort Solway Park Wairarapa
468,Youghal,IE,44.1,broken clouds,51.95,-7.8506,Quality Hotel and Leisure Centre Youghal
470,Saint-Martin-De-Crau,FR,57.99,clear sky,43.6395,4.8127,Hotel Residence La Transhumance
473,Vesoul,FR,46.35,overcast clouds,47.5833,5.8333,Camping Municipal La Louvière
485,Vila,PT,45.73,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
486,Thanh Hoa,VN,58.68,overcast clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
490,Jieshi,CN,52.95,scattered clouds,22.8134,115.8257,Yuehai Hotel
495,Moria,GR,47.93,scattered clouds,39.1333,26.5167,Pyrgos Sofokleous
496,Ha Tinh,VN,59.65,overcast clouds,18.3333,105.9,Phú Quý
502,Shahreza,IR,46.6,clear sky,32.0339,51.8794,خوابگاه
505,Bermejillo,MX,41.04,few clouds,25.8833,-103.6167,Hotel Mirador
508,Ahuimanu,US,68.45,clear sky,21.4447,-157.8378,Paradise Bay Resort
509,Karoi,ZW,65.57,overcast clouds,-16.8099,29.6925,Chikangwe Guest houses
514,Gariaband,IN,67.55,clear sky,20.635,82.0614,हंसराज ट्रैक्टर
517,Makakilo City,US,67.28,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
523,Pacific Grove,US,56.57,clear sky,36.6177,-121.9166,Lovers Point Inn
528,Muros,ES,57.83,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
530,Kaliua,TZ,64.6,moderate rain,-5.0606,31.7936,Millennium Complex
534,Ried,DE,45.75,overcast clouds,48.477,11.2606,Tagungshaus Maria Beinberg
537,Buzovna,AZ,42.89,broken clouds,40.5179,50.1139,Karvan Palace Hotel
540,Torata,PE,67.84,broken clouds,-17.0769,-70.8433,Lodging Sra. Tina Vera
547,Umtata,ZA,63.16,drizzle,-31.5889,28.7844,LLZZ Boutique Lodge
549,Scarborough,GB,42.53,scattered clouds,54.2797,-0.4044,The Grand Hotel Scarborough
551,Nakatsu,JP,42.69,broken clouds,33.5981,131.1883,Toyoko Inn Oita Nakatsu Ekimae
552,Konch,IN,55.71,clear sky,25.9833,79.15,AZAAD GARDEN
556,Sainte-Maxime,FR,59.02,scattered clouds,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
559,Ishigaki,JP,63.28,overcast clouds,24.3448,124.1572,Ishigaki Resort Granvrio
563,Rauseni,RO,45.09,scattered clouds,47.5667,27.2,Pensiunea Matrix Argeș
565,Kaspiyskiy,RU,40.62,overcast clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
572,Nanakuli,US,68.7,few clouds,21.3906,-158.1547,Camp Pālehua
580,Easley,US,63.43,overcast clouds,34.8298,-82.6015,Quality Inn & Suites
583,Laguna,US,57.04,mist,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
586,Tolaga Bay,NZ,62.8,clear sky,-38.3667,178.3,Tolaga Bay Motel
589,Mporokoso,ZM,59.2,overcast clouds,-9.3727,30.125,Government Guest House
590,Maneadero,MX,60.19,clear sky,31.7167,-116.5667,Casa De Thompson
591,Prince Rupert,CA,46.09,light rain,54.3161,-130.3201,Crest Hotel
595,Jobat,IN,65.14,clear sky,22.4167,74.5667,Singh house
596,Monster,NL,42.78,scattered clouds,52.0258,4.175,Vakantiepark Kijkduin
598,Bereda,ES,53.01,overcast clouds,43.2686,-7.5406,Pazo de Verdes
602,Srivardhan,IN,69.48,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
608,Vega De Alatorre,MX,57.15,overcast clouds,20.0333,-96.6333,Hotel Deluxe
613,Selma,US,46.98,clear sky,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
614,Hof,DE,41.45,light intensity drizzle,50.3167,11.9167,Hotel Burghof
625,Lakes Entrance,AU,51.57,broken clouds,-37.8811,147.981,The Esplanade Resort & Spa
627,Gaya,IN,60.71,mist,24.7833,85.0,Hotel Viraat Inn Gaya
635,Ankang,CN,43.12,broken clouds,32.68,109.0172,安琪酒店
645,Comodoro Rivadavia,AR,57.06,scattered clouds,-45.8667,-67.5,Austral Hotel
646,Port Macquarie,AU,67.96,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
659,Seka,TH,61.39,few clouds,17.9285,103.9552,โรงแรมเสาวลักษณ์วิลล่า
662,Samfya,ZM,63.1,overcast clouds,-11.3649,29.5565,Chita Lodge Samfya
663,Yulara,AU,69.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
666,Kahului,US,68.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
668,Abu Dhabi,AE,69.91,clear sky,24.4667,54.3667,Beach Rotana
671,Mehtar Lam,AF,45.48,clear sky,34.6714,70.2094,Fareed Hakamani
676,Diphu,IN,56.88,overcast clouds,25.8333,93.4333,Hotel Kamakhya
